customers,averagespeed,distance,vehicles,costs,tts,weighted_load,positive_height_diff,total_fuel,driver_pay,eff,a,xxx
50,20.172885703286664,7015020.074212342,12,3690.35325926572,7.287951469421387,1783805839.6876183,2849.166521853921,597.6004212196979,2644.552522131249,0.37,1,1
50,20.172885703286664,7015020.074212342,12,3693.3708843416816,5.879843473434448,1807953488.4855785,2849.166521853921,599.3247784059696,2644.5525221312346,0.37,2,1
50,20.172885703286664,7015020.074212342,12,3696.388509417153,6.396521806716919,1832101137.2835374,2849.166521853921,601.0491355922412,2644.5525221307307,0.37,3,1
50,20.172885703286664,7015020.074212342,12,3699.4061344938073,7.237058401107788,1856248786.0814965,2849.166521853921,602.7734927785127,2644.55252213141,0.37,4,1
50,20.172885703286664,7015020.074212342,12,3702.4237595698387,6.739871263504028,1880396434.8794558,2849.166521853921,604.4978499647841,2644.5525221314665,0.37,5,1
50,20.172885703286664,7015020.074212342,12,3705.441384650018,7.123816013336182,1904544083.6774156,2849.166521853921,606.2222071510558,2644.55252213567,0.37,6,1
50,20.172885703286664,7015020.074212342,12,3708.4590097212104,8.050065755844116,1928691732.4753745,2849.166521853921,607.9465643373272,2644.5525221308876,0.37,7,1
50,20.15104676352078,7015020.074212342,12,3711.561117065069,8.149433612823486,1952839381.2733328,2849.166521853921,608.445826545599,2646.7809206102706,0.37,8,1
50,20.172885703286664,7015020.074212342,12,3714.4942598734583,7.852054595947266,1976987030.0712943,2849.166521853921,611.3952787098707,2644.5525221311846,0.37,9,1
50,20.172885703286664,7015020.074212342,12,3717.511884947525,6.76014256477356,2001134678.869253,2849.166521853921,613.1196358961421,2644.5525221292764,0.37,10,1
50,20.172885703286664,7015020.074212342,12,3720.529510026124,7.616353988647461,2025282327.667212,2849.166521853921,614.8439930824136,2644.5525221319003,0.37,11,1
50,20.172885703286664,7015020.074212342,12,3723.5471351013366,8.897257566452026,2049429976.4651718,2849.166521853921,616.5683502686853,2644.5525221311373,0.37,12,1
50,20.172885703286664,7015020.074212342,12,3726.5647601755936,5.0437891483306885,2073577625.2631311,2849.166521853921,618.2927074549568,2644.5525221294192,0.37,13,1
50,20.172885703286664,7015020.074212342,12,3729.5823852475824,6.563199520111084,2097725274.0610907,2849.166521853921,620.0170646412286,2644.5525221254325,0.37,14,1
50,20.172885703286664,7015020.074212342,12,3732.600010329178,7.126827001571655,2121872922.8590503,2849.166521853921,621.7414218275001,2644.5525221310527,0.37,15,1
50,20.172885703286664,7015020.074212342,12,3735.617635405928,6.888624668121338,2146020571.6570094,2849.166521853921,623.4657790137717,2644.5525221318276,0.37,16,1
50,20.172885703286664,7015020.074212342,12,3738.6352604794934,6.202653646469116,2170168220.454969,2849.166521853921,625.1901362000428,2644.5525221294183,0.37,17,1
50,20.172885703286664,7015020.074212342,12,3741.6528855575593,8.954477548599243,2194315869.252928,2849.166521853921,626.9144933863148,2644.5525221315083,0.37,18,1
50,20.172885703286664,7015020.074212342,12,3744.670510632667,7.102270841598511,2218463518.050888,2849.166521853921,628.6388505725864,2644.5525221306407,0.37,19,1
50,20.172885703286664,7015020.074212342,12,3747.6881357087977,6.97357177734375,2242611166.8488483,2849.166521853921,630.3632077588579,2644.552522130796,0.37,20,1
50,20.172885703286664,7015020.074212342,12,3750.7057607851802,6.405574321746826,2266758815.6468062,2849.166521853921,632.0875649451293,2644.5525221312037,0.37,21,1
50,20.071204539294694,6374621.87412326,12,3497.3247787449113,6.404635190963745,2110739856.82618,2814.64254991672,573.1025466242494,2494.395322152475,0.37,22,1
50,20.172885703286664,7015020.074212342,12,3756.741010937178,5.719914436340332,2315054113.2427254,2849.166521853921,635.5362793176727,2644.552522131251,0.37,23,1
50,20.172885703286664,7015020.074212342,12,3759.758636011479,7.374795198440552,2339201762.040684,2849.166521853921,637.2606365039443,2644.552522129577,0.37,24,1
50,20.172885703286664,7015020.074212342,12,3762.776261087387,6.254277229309082,2363349410.838644,2849.166521853921,638.9849936902157,2644.5525221295093,0.37,25,1
50,20.172885703286664,7015020.074212342,12,3765.7938861623834,7.409401893615723,2387497059.636604,2849.166521853921,640.7093508764871,2644.552522128531,0.37,26,1
50,20.172885703286664,7015020.074212342,12,3768.8115112413384,5.605691909790039,2411644708.434562,2849.166521853921,642.4337080627588,2644.5525221315106,0.37,27,1
50,20.172885703286664,7015020.074212342,12,3771.829136317426,7.089410066604614,2435792357.2325225,2849.166521853921,644.1580652490304,2644.552522131623,0.37,28,1
50,19.888573385876715,6979677.796217206,12,3774.8304542376836,8.489949464797974,2436262449.7396846,2901.7611228191636,631.4859685922002,2669.7300092013334,0.37,29,1
50,19.888573385876715,6979677.796217206,12,3777.784251190356,7.059089183807373,2459899332.9335823,2901.7611228191636,633.1738525653969,2669.7300092009114,0.37,30,1
50,19.888573385876715,6979677.796217206,12,3780.7380481437713,6.058790683746338,2483536216.1274786,2901.7611228191636,634.8617365385936,2669.7300092012324,0.37,31,1
50,19.888573385876715,6979677.796217206,12,3783.69184509685,7.463433265686035,2507173099.3213754,2901.7611228191636,636.5496205117904,2669.730009201217,0.37,32,1
50,19.888573385876715,6979677.796217206,12,3786.6456420482864,5.360394477844238,2530809982.515273,2901.7611228191636,638.2375044849872,2669.730009199559,0.37,33,1
50,19.888573385876715,6979677.796217206,12,3789.599439003083,8.27229356765747,2554446865.70917,2901.7611228191636,639.925388458184,2669.7300092012606,0.37,34,1
50,19.888573385876715,6979677.796217206,12,3792.553235954244,6.775213956832886,2578083748.9030657,2901.7611228191636,641.6132724313806,2669.730009199328,0.37,35,1
