customers,averagespeed,distance,vehicles,costs,tts,weighted_load,positive_height_diff,total_fuel,driver_pay
8,19.012073971960852,1137711.590331295,2,611.4288520964144,0.2980976104736328,399058937.96217835,347.5347521831395,104.00670405240939,429.417120004698
8,21.453806167150667,1654523.184885818,2,837.351925999189,0.3939549922943115,539432196.4537643,407.3765828333509,165.63626210649872,547.4884673128163
8,18.81092089134511,1643192.5912209193,3,995.3923898215007,0.28199195861816406,528725073.1025215,266.4233861369241,143.38867951871725,744.4622006637455
8,19.862853754898953,1421368.2442983186,3,733.1718842482235,0.3499889373779297,448044150.35495484,579.5104987387549,126.64834033477844,511.5372886623613
9,21.468748553297925,1728931.9000454962,2,862.9559488284972,0.5108718872070312,577004961.5027114,497.75794979353464,165.77174954665688,572.8553871218477
9,20.814650925350186,2082086.4215043003,3,1053.4688939775288,0.5804715156555176,659399663.3262537,608.2372954851378,197.3323324703617,708.1373121543959
9,22.244701911936954,2085893.9837652529,3,1017.4426999789689,0.33725881576538086,633008109.7245547,346.11879082995017,201.18770748628785,665.3642118779651
9,20.407966933153254,1462306.63539865,2,747.0264968541994,0.35997796058654785,478079519.67436117,384.63207107905896,134.1958750611387,512.1837154972067
9,22.10790035011569,1668010.6461677495,3,839.098659845364,0.5678925514221191,549482600.2904874,550.2398260140335,170.81889547408224,540.16559276572
9,22.558162130888572,1695443.8287162522,2,840.5966531631882,0.4379160404205322,568722400.6198912,627.9978184209406,173.97810952035886,536.1349615025601
9,22.949076471793017,1753040.8701790334,2,857.2342587960826,0.2546565532684326,567037760.8198832,517.5688461550517,178.68432137049533,544.5366963977158
9,19.905969929859157,1835831.573087836,3,936.6878107642187,0.3848998546600342,572959450.3806741,421.35633615308694,161.0756822190488,654.8053668808834
9,19.410799088850567,1862552.2153737047,3,972.13195471893,0.5450699329376221,580250545.4836712,532.4021100552168,166.76761775744674,680.2886236433983
9,23.091956768201783,2015710.8827584488,2,1012.5397082161101,0.36336803436279297,661421620.4872602,392.67133798802536,205.42132577179208,653.052388115474
10,23.519908107126692,1828393.8697315848,3,893.6002567564259,0.5360074043273926,610717595.6989747,471.6263839415448,191.85122565458428,557.8606118609034
10,19.459787405539018,1642207.5171186526,3,862.0197338215879,0.43799352645874023,555619767.5246133,482.00979479569617,147.83206747027407,603.3136157486083
10,20.54294104962164,1849421.2677462413,3,946.4048439019012,0.4945411682128906,602071736.3034487,549.4082096325599,174.03983273035328,641.835136623783
