customers,averagespeed,distance,vehicles,costs,tts,weighted_load,positive_height_diff,total_fuel,driver_pay
5,14.14336112892035,870557.6620533199,1,540.979132821332,0.56258225440979,317962597.313664,181.53213916627095,61.694795914465566,433.0132399710172
5,12.583991887053283,1122202.452803979,2,776.2667671791542,0.7848372459411621,333617313.6165921,398.79276844778457,51.701744826599146,685.7887137326056
5,11.900896226967966,1275849.7627650048,2,844.7037244199493,0.8279240131378174,386484414.9013411,159.63853127497603,54.990756817623854,748.4698999891075
5,13.56563092744698,1544583.4089343273,2,935.3707070557289,0.8093492984771729,478386420.68431777,222.24088277662742,81.70116311658182,792.3936716017107
5,12.607813180136331,1570629.080092057,2,994.5634993380878,0.8611376285552979,473590558.7656749,331.0730930812655,72.39183567101234,867.8777869138162
5,11.226851851851851,1070864.736075122,2,792.2926769096433,1.1404187679290771,328178516.03579473,224.8029553646691,42.85094553511126,717.3035222231986
5,11.226851851851851,1048086.8732097032,2,724.4908623759752,0.6530337333679199,311742795.371352,420.74379266017274,41.26429841631164,652.2783401474298
5,12.014020172237169,1165711.1629976202,2,769.1162813850455,1.1924126148223877,358054932.01301396,181.2189133088374,52.41896512499035,677.3830924163124
5,12.94711348865312,1169986.128942299,2,729.5483627840408,0.885469913482666,360897030.90662163,239.7802902691343,55.71793909158661,632.0419693737642
5,12.697763939189787,1258782.686816144,2,794.1425913452338,0.6639020442962646,387428086.80224264,297.61633562918894,58.48272724834326,691.7978186606331
6,13.590608554778166,1573355.362328556,2,1062.8130910686332,1.9164578914642334,492498521.52844965,491.2597832631893,83.86560472560924,916.0482827988171
6,11.22685185185185,201601.56950129988,1,140.08999195885733,1.1872539520263672,55107015.46927397,128.47475773172945,7.590412704874301,126.8067697253273
6,13.31986351413924,1642786.4852116602,2,1017.210892364541,2.6411776542663574,514887529.34467304,405.6796456255552,84.95001441201595,868.5483671435131
6,11.365716843854571,1400475.9285311988,2,960.3246722996315,2.7203567028045654,450730735.9959704,284.07499786585737,58.24341083869966,858.3987033319071
6,11.226851851851853,1115913.696703707,2,774.8563793875629,1.488703966140747,350793043.0948282,312.0808830929466,45.28261647839107,695.6118005503786
6,11.615885345277448,1191537.478014381,2,803.8356717992569,1.57615327835083,362908253.07344025,255.79239172640436,49.18798044371869,717.7567060227492
6,11.226851851851851,617385.0045607543,2,806.5270475455757,1.2718822956085205,192584324.84498462,207.4405091043097,24.946175033517523,762.87124123692
6,13.751165930656754,1208912.9414467702,2,951.3621733496065,1.0992982387542725,373521423.6742496,528.1114650338261,75.35137706880506,819.4972634791976
6,14.081103784433868,1781634.5369186709,2,1059.7322829858085,1.666269063949585,571748408.1104736,571.7503628328764,102.13353108669743,880.998603584088
6,11.799954492475557,1513062.7995244875,2,1006.2015960288468,0.9354031085968018,465138060.0746146,243.9229640643627,63.76214378824978,894.6178443994097
7,12.841128958302377,1564195.121715723,2,1047.8857046165488,2.3303046226501465,507315905.5419172,391.8207394714045,76.84506368256851,913.4068431720539
7,13.631427276833504,1730596.43114843,2,1065.2678919395898,3.0667951107025146,544987091.6786729,387.23231653477023,102.44728227403454,885.9851479600293
7,13.702319654798643,1684424.8878185337,2,1020.1496607302083,2.083207607269287,529673467.2892157,501.9568968443241,92.38778633581688,858.4710346425287
7,12.288370582486241,1360583.7509294928,2,885.8560268374104,2.1947882175445557,443505262.4667154,574.5869948331339,63.28104504892428,775.1141980017928
7,11.255083839017498,1352801.9123171063,2,989.9079769471998,3.5172722339630127,433124073.0454493,381.80682324708556,55.58373843398734,892.6364346877219
7,11.818804551482234,1283333.3904889838,2,874.8615292982811,1.9573109149932861,417972908.1708464,260.4452392887498,55.94446489118792,776.9587157387023
7,13.782116996339434,1531579.486208386,2,926.4631916840995,2.377216339111328,498567918.52908355,344.5517372332098,84.93572233467663,777.8256775984154
7,11.226851851851851,1350550.5191363604,3,1175.4191000064518,1.7377068996429443,404718381.51794887,334.2460731789187,53.38761612743449,1081.9907717834415
7,14.031619768598949,1551225.895947822,2,1033.528524740084,2.499077081680298,506582680.2106125,647.8369471631252,97.78694055648911,862.401378766228
7,13.578742022921652,1776362.8843058394,2,1167.5709568269438,3.5832881927490234,569239857.3571212,272.956743444469,100.46641666650955,991.7547276605521
8,13.481846836068403,1408392.4274059846,3,867.0552436216046,2.8232455253601074,458113141.67978436,652.4066332650868,74.34144622805398,736.9577127225102
8,12.806667743458275,1655159.9518169118,2,1046.8348566508919,3.0018231868743896,540891628.6503786,311.7205288249332,81.81764011599589,903.6539864478991
8,11.471766307919664,1275524.2404269744,3,878.6259977672614,3.468860149383545,425281685.2246602,315.4985849944263,54.57287565090684,783.1234653781745
8,12.86716353313897,1292290.5395319557,2,971.4968515949333,4.627114772796631,448329287.1314761,507.6717232733596,64.97772503933372,857.7858327760994
8,11.226851851851851,1624102.06930343,3,1310.4454577493977,5.234632968902588,502162323.63274807,338.12947599638983,65.30580288217868,1196.160302705585
8,11.22685185185185,1666784.156279593,3,1156.0076772580155,4.680431365966797,528679502.5672251,495.33987048793546,67.97324363640844,1037.0545008943006
8,12.276684298612974,1137711.590331295,2,897.058296401182,2.6641151905059814,399058937.96217835,347.5347521831395,53.83958870133561,802.8390161738447
8,14.391546437566971,1654523.184885818,2,985.0713026500846,5.072268962860107,539432196.4537712,407.3765828333509,101.9799351431203,806.606416149624
8,11.995824420472125,1643192.5912209193,3,1297.2631783245492,3.862744092941284,528725073.1025217,266.4233861369241,72.74734001885822,1169.9553332915473
