customers,averagespeed,distance,vehicles,costs,tts,weighted_load,positive_height_diff,total_fuel,driver_pay,eff,a,xxx
20,20.56559006130811,3325376.329051699,5,1682.7799986404084,11.764175176620483,1169308954.6281378,1104.0061664771822,318.4985496839765,1125.4075366934496,0.37,1,1
20,20.57944193436019,3325376.329051699,5,1686.952801900908,6.790863275527954,1169308954.6280518,1104.0061664771822,318.5595178259729,1129.4736457054555,0.37,2,1
20,20.601269974876644,3325376.329051699,5,1690.8278987863066,8.05664324760437,1169308954.6280496,1104.0061664771822,319.09953425721557,1132.4037138361793,0.37,3,1
20,20.612520905942137,3325376.329051699,5,1695.0767662089168,12.365477561950684,1169308954.6280484,1104.0061664771822,319.16727663721827,1136.5340320937848,0.37,4,1
20,20.247485094417943,2881446.9907919625,4,1611.498249954096,7.213853120803833,994043759.5428916,960.3693694273755,271.7719312419347,1135.8973702807104,0.37,5,1
20,20.739521331056615,3325376.329051699,5,1703.5782415481412,6.0253005027771,1169308954.6280482,1104.0061664771822,322.5062327312908,1139.1923342683824,0.37,6,1
20,20.74743233311696,3325376.329051699,5,1707.7387102477649,6.543741226196289,1169308954.62805,1104.0061664771822,322.58752358729424,1143.21054397,0.37,7,1
20,20.776376582117734,3325376.329051699,5,1712.2459869269674,7.041573524475098,1169308954.6280997,1104.0061664771822,323.2156051125444,1146.6186779800148,0.37,8,1
20,20.7822061444681,3325376.329051699,5,1716.60121326568,4.388998985290527,1169308954.6280432,1104.0061664771822,323.31044444454426,1150.8079354877275,0.37,9,1
20,20.80526639170729,3325376.329051699,5,1721.0452218391279,4.916106462478638,1169308954.6280472,1104.0061664771822,323.84811549890213,1154.311019716049,0.37,10,1
20,20.979236486874758,3325376.329051699,5,1726.0308927487242,5.935033559799194,1169308954.6280475,1104.0061664771822,324.9589566941981,1157.3527185338776,0.37,11,1
20,20.57114864751412,2881446.9907919625,4,1642.3941099549243,4.902867317199707,994043759.5428923,960.3693694273755,275.25790556944526,1160.692775208395,0.37,12,1
20,21.001921334695513,3325376.329051699,5,1734.82598963423,3.706761121749878,1169308954.6280518,1104.0061664771822,325.4989731254412,1165.202786664708,0.37,13,1
20,21.100471277063534,3325376.329051699,5,1739.0098469983375,3.115290880203247,1169308954.6280432,1104.0061664771822,326.76883361543554,1167.1643881713253,0.37,14,1
20,20.693996753812428,2881446.9907919625,4,1655.1684619950734,5.468129873275757,994043759.5428929,960.3693694273755,276.8759150905608,1170.635610586592,0.37,15,1
20,21.1331445591633,3325376.329051699,5,1747.1582175204296,4.781261682510376,1169308954.627494,1104.0061664771822,327.6907501047123,1173.699404837183,0.37,16,1
20,21.1331445591633,3325376.329051699,5,1751.2582175206808,3.288905143737793,1169308954.6280494,1104.0061664771822,327.6907501047519,1177.799404837365,0.37,17,1
20,22.30916731626425,3458768.1643400686,5,1769.1061342501057,5.677068471908569,1214142959.4304914,978.7382845543428,348.92360236194867,1158.4898301166954,0.37,18,1
20,22.349343174676843,3458768.1643400686,5,1773.5570789420444,4.285897970199585,1214142959.4306746,978.7382845543428,349.9781174338614,1161.0953734327868,0.37,19,1
20,22.373501024185256,3458768.1643400686,5,1777.6851116280072,3.262115240097046,1214142959.4306736,978.7382845543428,350.4123429656385,1164.46351143814,0.37,20,1
20,22.411262757496136,3458768.1643400686,5,1782.269673557856,3.0498600006103516,1214142959.4306748,978.7382845543428,351.04707856583667,1167.937286067642,0.37,21,1
20,22.19819424124431,3014838.8260803316,4,1698.665837299483,4.694590330123901,1038877764.3455156,835.1014875045362,301.6646700586134,1170.7526646969095,0.37,22,1
20,22.511058532999215,3458768.1643400686,5,1791.1612208606352,3.950859308242798,1214142959.4306693,978.7382845543428,352.9525246157992,1173.4943027829868,0.37,23,1
20,23.02225956836025,3546668.2140029743,5,1827.223004277083,4.062859296798706,1255814214.6159291,999.5613293014392,370.57716574292675,1178.712964226961,0.37,24,1
