customers,averagespeed,distance,vehicles,costs,tts,weighted_load,positive_height_diff,total_fuel,driver_pay,timewindows
9,17.04831107720869,2117569.2192100575,4,1174.0536147182106,0.1706392765045166,649392529.0711517,622.1726770724528,157.7443234486782,898.0010486830237,2700
9,17.690076146576388,1616820.9205896372,3,888.3102171168118,0.13869047164916992,541003679.8614798,439.7990119984065,124.57725927113864,670.3000133923192,3000
9,18.22211452850828,1838812.4292173071,4,1087.9720264310924,0.13478422164916992,587296725.9619538,515.9832058748144,148.79808238833823,827.5753822515005,3300
9,21.639317949618878,1724148.334322794,3,866.6406051017543,0.12407040596008301,581953628.3461369,599.4505862057451,167.3637366243413,573.754066009157,3600
9,16.420398724750704,1847601.433644654,4,1154.2545505921598,0.11006498336791992,580181361.7397165,522.0672615076907,133.410042918562,920.7869754846763,3900
9,15.715391062940991,1788317.0037792595,4,1275.106823370497,0.12170100212097168,552529007.7924268,520.1583483020621,125.73869868104603,1055.0641006786666,4200
9,18.0826117291724,1704715.1657287034,3,918.4361176014395,0.13120007514953613,556144476.7176113,516.8672221726596,138.25794268686454,676.4847178994265,4500
9,19.17217761125964,1791325.8096961284,4,951.8523811451407,0.16549468040466309,553064459.6021228,598.2514553840987,152.44857179278816,685.0673805077614,4800
9,16.455864686209775,1524397.2040099467,3,998.8645814001077,0.1050417423248291,515576537.98577535,441.70792520403495,113.58523627132337,800.0904179252918,5100
9,20.142316433757237,1546437.5295886833,3,812.307605956972,0.16616582870483398,507424221.6189281,522.0672615076907,144.25317765126906,559.8645450672511,5400
9,17.645999184048424,1741164.6751195437,3,994.8796929098149,0.14954042434692383,588703401.543652,545.9884831960447,136.21862216911094,756.4971041138708,5700
9,18.66534366447744,1543051.131819738,3,848.0619161523271,0.39647746086120605,515234773.5942123,521.1832452098456,131.91454255073958,617.2114666885328,6000
9,18.70395728356909,1656682.2606682912,3,904.7115133749292,0.29016637802124023,577149486.263594,464.60424998460553,137.09467816793523,664.7958265810424,6300
9,17.351562054101155,1729254.7564965184,3,978.031450350752,0.1497800350189209,570398199.2181882,597.3674390862536,132.82693450145112,745.5843149732126,6600
9,17.08506817319132,1713020.0618291502,3,986.9239478771768,0.17365646362304688,563710196.5786527,597.3674390862537,133.42985024432522,753.4217099496077,6900
9,18.177389395545827,1795254.2238129945,3,1018.429218601025,0.17357730865478516,567709329.4747543,515.9832058748144,148.91769495781503,757.8232524248488,7200
9,15.562423027100467,1850529.4275017034,4,1236.523924072656,0.13076162338256836,561224787.7295227,599.6336683078728,132.182827412469,1005.2039761008351,7500
9,16.680279956285872,1574857.9200524078,3,933.998818856593,0.1625227928161621,523790288.0810532,418.98583433732733,124.43311866241838,716.2408611973608,7800
9,19.273755527962642,1603660.562542811,3,967.2883534947564,0.3218545913696289,550637879.4020095,601.5425815135013,143.35380698730145,716.4191912669788,8100
9,17.53910366482725,1484827.6292820359,3,886.9394297756248,0.8443069458007812,510127242.95111597,522.0672615076907,120.11841192140115,676.7322089131728,8400
9,18.02504208009334,1589695.3679865142,3,913.0850566781133,0.23566293716430664,511701263.4887235,601.5425815135013,130.47035002166479,684.7619441402,8700
9,15.42515569975851,1788317.0037792595,4,1331.9235798604607,0.15610647201538086,553435372.8781084,520.1583483020621,126.95890405293294,1109.745497767828,9000
9,18.307137759056076,1600972.040013437,3,959.4664932149267,0.2619614601135254,529008106.54860604,522.0672615076907,133.30967768738094,726.17455726201,9300
9,17.62571891883918,1667050.9748220565,3,973.0972168015078,0.3292837142944336,552284981.0572143,598.2514553840988,138.27846126243392,731.1099095922484,9600
9,17.3359536845036,1729254.7564965184,3,1007.318385966637,0.8611302375793457,570892361.1658546,597.3674390862536,132.90107382611535,774.7415067709352,9900
9,20.07767491816347,1517406.3670204394,2,788.3068554726974,0.36864233016967773,536254760.586387,522.0672615076907,142.1725914185603,539.5048204902168,10200
9,18.05640971458248,1698922.1507467441,3,946.1868729240138,0.39308929443359375,554242481.2158669,525.3583876370933,140.8140637845977,699.7622613009678,10500
