customers,averagespeed,distance,vehicles,costs,tts,weighted_load,positive_height_diff,total_fuel,driver_pay,timewindows

8,17.807724881350946,2163792.0516044297,4,1236.776717599348,0.45766305923461914,658213282.7285663,415.6886536397876,170.03377712816868,939.2176076250529,1800
8,21.63424658838472,2052270.9735121522,3,1023.7656079982861,0.0879511833190918,653335091.4511116,323.8431388158814,197.58473845653003,677.9923156993585,2100
8,19.610869491931794,2366192.641936175,4,1203.7373990713463,0.09843158721923828,717028104.4418954,350.91136556407514,199.98143898346777,853.7698808502778,2400
8,17.29089178144595,2229711.1783337346,4,1275.4423256661166,0.08774042129516602,673266127.3879062,421.93383564088515,171.1635127023612,975.9061784369846,2700
8,19.511060931334274,2163792.0516044297,4,1122.1848584763952,0.08870434761047363,661916650.4653869,415.6886536397876,184.8469462378431,798.7027025601697,3000
8,17.104245574462364,2163792.0516044297,4,1294.0194462814552,0.09091639518737793,661916650.4653869,415.6886536397876,168.893263285801,998.4562355313035,3300
8,18.81687644489145,1882485.1986648105,3,1216.6778061534683,0.10003042221069336,582917795.0193596,421.93383564088515,163.4722156588252,930.6014287505241,3600
8,18.263823985533055,2257004.6753572486,4,1197.1058082399793,0.09755444526672363,676525550.6601039,436.51169838688384,183.6018793201675,875.8025194296861,3900
8,17.69847372469071,1828695.4314485271,3,1021.4431108521628,0.09063553810119629,604826580.0252894,388.62042689159387,144.27691943666315,768.9585018380022,4200
8,16.56897333189765,2257004.675357249,4,1309.2388793142363,0.10010671615600586,688405294.7457554,436.51169838688384,167.7885478683859,1015.608920544561,4500
8,17.641893747488954,2022469.234341963,3,1099.518059457781,0.18784880638122559,652670106.9425203,350.91136556407514,159.13876516433467,821.0252204201952,4800
8,20.556520010667825,2112603.24387281,3,1067.1930174059314,0.09807229042053223,677510354.7629809,415.6886536397876,194.32717393409956,727.1204630212571,5100
8,20.12772292651724,2271523.077931172,3,1156.5010751369919,0.10952997207641602,709834857.0746895,371.73441031117136,205.56976072344608,796.7539938709613,5400
