customers,averagespeed,distance,vehicles,costs,tts,weighted_load,positive_height_diff,total_fuel,driver_pay,timewindows,fuel_per_100km_distance,drivercost_per_100km_distance
8,17.807724881350946,2163792.0516044297,4.0,1236.776717599348,0.4576630592346191,658213282.7285663,415.6886536397876,170.03377712816868,939.2176076250528,1800,7.858138539795927,43.4060938031745
8,21.63424658838472,2052270.973512152,3.0,1023.765607998286,0.0879511833190918,653335091.4511116,323.8431388158814,197.58473845653003,677.9923156993585,2100,9.627614530765086,33.0361986526115
8,19.61086949193179,2366192.641936175,4.0,1203.7373990713463,0.0984315872192382,717028104.4418954,350.91136556407514,199.98143898346777,853.7698808502778,2400,8.451612748648806,36.08201064101302
8,17.29089178144595,2229711.1783337346,4.0,1275.4423256661166,0.087740421295166,673266127.3879062,421.9338356408851,171.1635127023612,975.9061784369846,2700,7.676488074579771,43.7682776101199
8,19.51106093133427,2163792.0516044297,4.0,1122.1848584763952,0.0887043476104736,661916650.4653869,415.6886536397876,184.8469462378431,798.7027025601697,3000,8.542731548569142,36.912174715122916
8,17.104245574462364,2163792.0516044297,4.0,1294.0194462814552,0.0909163951873779,661916650.4653869,415.6886536397876,168.893263285801,998.4562355313036,3300,7.805429507912666,46.14381658306576
8,18.81687644489145,1882485.1986648105,3.0,1216.6778061534685,0.1000304222106933,582917795.0193596,421.9338356408851,163.4722156588252,930.601428750524,3600,8.683851313931768,49.43472752989352
8,18.263823985533055,2257004.6753572486,4.0,1197.1058082399793,0.0975544452667236,676525550.6601039,436.51169838688384,183.6018793201675,875.8025194296861,3900,8.134758484321978,38.80375300024845
8,17.69847372469071,1828695.4314485271,3.0,1021.4431108521628,0.0906355381011962,604826580.0252894,388.62042689159387,144.27691943666315,768.9585018380022,4200,7.8896090051682375,42.049566516874975
8,16.56897333189765,2257004.675357249,4.0,1309.2388793142363,0.1001067161560058,688405294.7457554,436.51169838688384,167.7885478683859,1015.608920544561,4500,7.434124957753026,44.99808669575776
8,17.641893747488954,2022469.234341963,3.0,1099.518059457781,0.1878488063812255,652670106.9425203,350.91136556407514,159.13876516433467,821.0252204201952,4800,7.868538243357386,40.59518960679402
8,20.556520010667825,2112603.24387281,3.0,1067.1930174059314,0.0980722904205322,677510354.7629809,415.6886536397876,194.32717393409956,727.1204630212571,5100,9.198469920829066,34.418221458767846
8,20.12772292651724,2271523.077931172,3.0,1156.501075136992,0.109529972076416,709834857.0746895,371.73441031117136,205.56976072344608,796.7539938709613,5400,9.049864503717576,35.0757604715431
8,19.707514425598266,2104007.842289447,3.0,1068.146158477383,0.1486241817474365,685517017.1980387,436.51169838688384,178.50646280243114,755.7598485731289,5700,8.484115848550822,35.92001100864526
8,16.414904466140104,2228353.4414629643,4.0,1372.6978905984072,0.1067893505096435,672975515.30405,436.51169838688384,167.30395480119762,1079.915969696311,6000,7.507963130451999,48.462508218055476
8,16.779330196838547,2257004.6753572486,4.0,1348.216743703657,0.1000959873199462,687084944.975648,436.51169838688384,171.33941208037265,1048.372772563005,6300,7.591451358125888,46.44973862967581
8,18.176638566716782,1960855.570369039,3.0,1054.606276685452,0.1070091724395752,634485850.873539,363.3500208099084,164.25260821794464,767.164212304049,6600,8.376578606808446,39.12395302830317
8,20.57700218700671,2005888.453631157,3.0,1023.901101369067,0.1385867595672607,643301861.8359907,350.9113655640752,184.55755814251177,700.9253746196714,6900,9.200788698315536,34.94338747255971
8,17.463033803565825,1832920.9145761444,3.0,1078.2978571503334,0.1475486755371093,597132044.2360358,415.6886536397876,141.84734351399504,830.065006000842,7200,7.738868730558224,45.286460501368175
8,19.535409798099636,2056283.6407475723,3.0,1071.698745128729,0.1189169883728027,652056298.5544934,415.6886536397876,180.87003175081563,755.1761895648016,7500,8.795967062455421,36.725292882758794
