customers,averagespeed,distance,vehicles,costs,tts,weighted_load,positive_height_diff,total_fuel,driver_pay,eff
8,0,0.0,0,0.0,0.27141523361206055,0.0,0,0.0,0,0.01
8,0,0.0,0,0.0,0.07994627952575684,0.0,0,0.0,0,0.02
8,0,0.0,0,0.0,0.08054065704345703,0.0,0,0.0,0,0.03
8,0,0.0,0,0.0,0.07667160034179688,0.0,0,0.0,0,0.04
8,0,0.0,0,0.0,0.0701589584350586,0.0,0,0.0,0,0.05
8,0,0.0,0,0.0,0.07939767837524414,0.0,0,0.0,0,0.06
8,0,0.0,0,0.0,0.06706380844116211,0.0,0,0.0,0,0.07
8,0,0.0,0,0.0,0.06866717338562012,0.0,0,0.0,0,0.08
8,0,0.0,0,0.0,0.06757116317749023,0.0,0,0.0,0,0.09
8,0,0.0,0,0.0,0.06896233558654785,0.0,0,0.0,0,0.1
8,0,0.0,0,0.0,0.07605481147766113,0.0,0,0.0,0,0.11
8,0,0.0,0,0.0,0.07016849517822266,0.0,0,0.0,0,0.12
8,0,0.0,0,0.0,0.07659554481506348,0.0,0,0.0,0,0.13
8,0,0.0,0,0.0,0.06964468955993652,0.0,0,0.0,0,0.14
8,0,0.0,0,0.0,0.07635855674743652,0.0,0,0.0,0,0.15
8,0,0.0,0,0.0,0.06988406181335449,0.0,0,0.0,0,0.16
8,0,0.0,0,0.0,0.08019566535949707,0.0,0,0.0,0,0.17
8,0,0.0,0,0.0,0.07675337791442871,0.0,0,0.0,0,0.18
8,0,0.0,0,0.0,0.06980276107788086,0.0,0,0.0,0,0.19
8,0,0.0,0,0.0,0.07569050788879395,0.0,0,0.0,0,0.2
8,0,0.0,0,0.0,0.07003331184387207,0.0,0,0.0,0,0.21
8,0,0.0,0,0.0,0.0781099796295166,0.0,0,0.0,0,0.22
8,0,0.0,0,0.0,0.06815147399902344,0.0,0,0.0,0,0.23
8,0,0.0,0,0.0,0.06822395324707031,0.0,0,0.0,0,0.24
8,0,0.0,0,0.0,0.0678563117980957,0.0,0,0.0,0,0.25
8,0,0.0,0,0.0,0.06804513931274414,0.0,0,0.0,0,0.26
8,0,0.0,0,0.0,0.06799030303955078,0.0,0,0.0,0,0.27
8,0,0.0,0,0.0,0.0679924488067627,0.0,0,0.0,0,0.28
8,0,0.0,0,0.0,0.06787443161010742,0.0,0,0.0,0,0.29
8,0,0.0,0,0.0,0.06827020645141602,0.0,0,0.0,0,0.3
8,0,0.0,0,0.0,0.06771683692932129,0.0,0,0.0,0,0.31
8,0,0.0,0,0.0,0.06884908676147461,0.0,0,0.0,0,0.32
8,0,0.0,0,0.0,0.06755661964416504,0.0,0,0.0,0,0.33
8,0,0.0,0,0.0,0.06900525093078613,0.0,0,0.0,0,0.34
8,0,0.0,0,0.0,0.07624530792236328,0.0,0,0.0,0,0.35000000000000003
8,0,0.0,0,0.0,0.07000064849853516,0.0,0,0.0,0,0.36
8,0,0.0,0,0.0,0.07625079154968262,0.0,0,0.0,0,0.37
8,0,0.0,0,0.0,0.06989049911499023,0.0,0,0.0,0,0.38
8,0,0.0,0,0.0,0.07868456840515137,0.0,0,0.0,0,0.39
8,0,0.0,0,0.0,0.06750845909118652,0.0,0,0.0,0,0.4
8,0,0.0,0,0.0,0.06815552711486816,0.0,0,0.0,0,0.41000000000000003
8,0,0.0,0,0.0,0.06779980659484863,0.0,0,0.0,0,0.42
8,0,0.0,0,0.0,0.06765031814575195,0.0,0,0.0,0,0.43
8,0,0.0,0,0.0,0.0683441162109375,0.0,0,0.0,0,0.44
8,0,0.0,0,0.0,0.06764101982116699,0.0,0,0.0,0,0.45
8,0,0.0,0,0.0,0.06890296936035156,0.0,0,0.0,0,0.46
8,0,0.0,0,0.0,0.06697535514831543,0.0,0,0.0,0,0.47000000000000003
8,0,0.0,0,0.0,0.07006549835205078,0.0,0,0.0,0,0.48
8,0,0.0,0,0.0,0.07768034934997559,0.0,0,0.0,0,0.49
8,0,0.0,0,0.0,0.07172250747680664,0.0,0,0.0,0,0.5
8,0,0.0,0,0.0,0.07645773887634277,0.0,0,0.0,0,0.51
8,0,0.0,0,0.0,0.06887316703796387,0.0,0,0.0,0,0.52
8,0,0.0,0,0.0,0.06685972213745117,0.0,0,0.0,0,0.53
8,0,0.0,0,0.0,0.06869101524353027,0.0,0,0.0,0,0.54
