customers,averagespeed,distance,vehicles,costs,tts,weighted_load,positive_height_diff,total_fuel,driver_pay
5,14.14336112892035,870557.6620533199,1,551.0430860482846,0.4429917335510254,398496395.22591877,181.53213916627095,67.4456263298671,433.0132399710172
5,12.12214868873823,1122202.452803979,2,745.3323783315358,0.4432094097137451,437430308.2652701,398.79276844778457,55.42883427089851,648.3319183574633
5,11.905550691039709,1275849.7627650048,2,999.1927838746549,0.5059597492218018,504511097.96689796,159.63853127497603,62.5867708944291,889.665934809404
5,13.53679512821304,1544583.4089343273,2,974.6972668393352,0.4993112087249756,621273197.3357289,222.24088277662742,102.98870347644949,794.4670357555485
5,13.6452688086303,1570629.080092057,2,1035.3298011216361,0.5226860046386719,618886753.988756,331.0730930812655,91.8036385721369,874.6734336203966
5,11.226851851851851,1070864.736075122,2,804.6722425774321,0.4604353904724121,427242315.0468199,224.8029553646691,49.92498305956205,717.3035222231986
5,11.226851851851851,1048086.8732097032,2,736.6071103863042,0.5603618621826172,408699473.00228375,420.74379266017274,48.18786870792701,652.2783401474319
5,12.004512802093267,1165711.1629976202,2,789.0866412032074,0.6222901344299316,465892862.25727534,181.2189133088374,63.50797078336028,677.9476923323268
5,14.422630864877076,1169986.128942299,2,715.468730049787,0.44353604316711426,469130435.2053627,239.7802902691343,83.87894756134934,568.6805718174257
5,15.51789290089087,1258782.686816144,2,734.2171575588372,0.4963340759277344,503875895.41963094,297.61633562918894,94.60561898380715,568.6573243371747
6,13.590608554778166,1573355.362328556,2,972.9814401776308,0.9916880130767822,638046864.5808979,491.2597832631893,94.25905269200582,808.0280979666206
6,13.013649567281053,1053756.6106992734,2,673.8651748908513,0.7364368438720703,453074094.1207292,592.3738015217984,59.39084526831485,569.9311956713003
6,14.258160839959245,1284748.0265445837,1,529.7401327003055,0.9658102989196777,526578650.2027967,269.89746841201355,78.40484995971387,392.53164527080617
6,13.599096919368234,1333284.0936797345,2,828.1579650135113,1.6053447723388672,575394559.7894099,343.7662661291449,81.03061601713749,686.3543869835207
6,11.226851851851853,1115913.696703707,2,787.7567335584553,0.7303879261016846,454024297.4902342,312.0808830929466,52.65424743318572,695.6118005503803
